latitude,longitude,date,age,gender,time_of_the_day,severity,formatted_date,week_number
40.79965146,-73.96075507,1/1/2018,any,diverse,afternoon,8,1/1/2018,1
40.79965146,-73.96075507,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.80267998,-73.96408357,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.75672759,-73.88463381,1/1/2018,old,male,night,8,1/1/2018,1
40.75787879,-73.89147199,1/1/2018,old,female,night,8,1/1/2018,1
40.84587745,-73.86302071,1/1/2018,any,enby,night,8,1/1/2018,1
40.84515418,-73.86649919,1/1/2018,any,enby,night,8,1/1/2018,1
40.59312244,-73.97377768,1/1/2018,any,enby,morning,8,1/1/2018,1
40.60493021,-73.9722893,1/1/2018,any,enby,morning,8,1/1/2018,1
40.59459635,-73.97357186,1/1/2018,any,enby,morning,8,1/1/2018,1
40.59121487,-73.97405568,1/1/2018,any,enby,morning,8,1/1/2018,1
40.7040993,-73.80993316,1/1/2018,any,female,afternoon,8,1/1/2018,1
40.83952523,-73.92048947,1/1/2018,any,diverse,night,8,1/1/2018,1
40.84066687,-73.92026042,1/1/2018,any,diverse,night,8,1/1/2018,1
40.84122439,-73.92076572,1/1/2018,any,enby,night,8,1/1/2018,1
40.84082711,-73.91783879,1/1/2018,any,diverse,night,8,1/1/2018,1
40.8400609,-73.91723619,1/1/2018,any,diverse,night,8,1/1/2018,1
40.84106537,-73.9170976,1/1/2018,any,diverse,night,8,1/1/2018,1
40.84050298,-73.91749224,1/1/2018,any,diverse,night,8,1/1/2018,1
40.84285948,-73.91581594,1/1/2018,any,diverse,night,8,1/1/2018,1
40.84386351,-73.91509543,1/1/2018,any,diverse,night,8,1/1/2018,1
40.79505673,-73.96964593,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.79695624,-73.97024461,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.59459635,-73.97357186,1/1/2018,any,enby,morning,8,1/1/2018,1
40.59312244,-73.97377768,1/1/2018,any,enby,morning,8,1/1/2018,1
40.59312244,-73.97377768,1/1/2018,any,enby,morning,8,1/1/2018,1
40.59312244,-73.97377768,1/1/2018,any,enby,morning,8,1/1/2018,1
40.7911219,-73.97423419,1/1/2018,any,enby,night,8,1/1/2018,1
40.79495288,-73.97143733,1/1/2018,any,enby,night,8,1/1/2018,1
40.59121487,-73.97405568,1/1/2018,any,enby,morning,8,1/1/2018,1
40.59121487,-73.97405568,1/1/2018,any,enby,morning,8,1/1/2018,1
40.59455292,-73.95701199,1/1/2018,any,enby,morning,8,1/1/2018,1
40.68838527,-73.79541399,1/1/2018,any,male,night,8,1/1/2018,1
40.71124488,-73.95776997,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.59415002,-73.95860378,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.59455292,-73.95701199,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.59455292,-73.95701199,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.5959647,-73.95246683,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.68626634,-73.93719718,1/1/2018,any,enby,night,8,1/1/2018,1
40.59712057,-73.94124922,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.64412879,-73.94305279,1/1/2018,any,enby,night,8,1/1/2018,1
40.54964659,-74.22232856,1/1/2018,any,enby,night,8,1/1/2018,1
40.54964659,-74.22232856,1/1/2018,any,enby,night,8,1/1/2018,1
40.54964659,-74.22232856,1/1/2018,any,enby,night,8,1/1/2018,1
40.84755323,-73.86664618,1/1/2018,any,enby,night,8,1/1/2018,1
40.84532886,-73.86565669,1/1/2018,any,diverse,night,8,1/1/2018,1
40.79433796,-73.97102949,1/1/2018,any,enby,night,8,1/1/2018,1
40.79428055,-73.97193241,1/1/2018,any,enby,night,20,1/1/2018,1
40.7956824,-73.96918697,1/1/2018,any,enby,night,8,1/1/2018,1
40.62523837,-73.91887869,1/1/2018,young_adult,male,night,8,1/1/2018,1
40.60199177,-73.93464761,1/1/2018,any,diverse,night,8,1/1/2018,1
40.60130071,-73.93577183,1/1/2018,any,diverse,night,8,1/1/2018,1
40.60974776,-73.95605139,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.61011247,-73.95514715,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.79451509,-73.96632353,1/1/2018,any,enby,night,8,1/1/2018,1
40.79451509,-73.96632353,1/1/2018,any,enby,night,8,1/1/2018,1
40.69734106,-73.92714679,1/1/2018,any,enby,night,8,1/1/2018,1
40.79310962,-73.97676147,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.69844513,-73.92822388,1/1/2018,any,enby,night,8,1/1/2018,1
40.67917055,-73.92696113,1/1/2018,any,enby,night,8,1/1/2018,1
40.83150062,-73.86770461,1/1/2018,any,diverse,night,23,1/1/2018,1
40.5266417,-74.1714285,1/1/2018,any,enby,night,8,1/1/2018,1
40.65561957,-73.74040109,1/1/2018,middle_age,female,night,8,1/1/2018,1
40.54802256,-74.22608334,1/1/2018,any,enby,night,8,1/1/2018,1
40.70912408,-73.96031061,1/1/2018,any,diverse,night,8,1/1/2018,1
40.7066372,-73.95271614,1/1/2018,any,male,night,8,1/1/2018,1
40.64671679,-73.92353723,1/1/2018,any,enby,night,8,1/1/2018,1
40.70697322,-73.94314698,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.59744806,-73.94878924,1/1/2018,any,enby,morning,8,1/1/2018,1
40.55744694,-74.20790186,1/1/2018,any,enby,night,8,1/1/2018,1
40.68093882,-73.88154888,1/1/2018,any,diverse,night,8,1/1/2018,1
40.68093882,-73.88154888,1/1/2018,old,male,night,8,1/1/2018,1
40.6770982,-73.82504028,1/1/2018,any,diverse,night,8,1/1/2018,1
40.64433272,-73.93927981,1/1/2018,any,enby,night,8,1/1/2018,1
40.86710801,-73.89769319,1/1/2018,any,enby,night,8,1/1/2018,1
40.76382147,-73.98195191,1/1/2018,any,diverse,evening,8,1/1/2018,1
40.5265108,-74.20133446,1/1/2018,any,enby,night,8,1/1/2018,1
40.71505425,-73.7499273,1/1/2018,any,diverse,night,9,1/1/2018,1
40.63436108,-73.97782196,1/1/2018,any,diverse,night,9,1/1/2018,1
40.59778793,-73.78344477,1/1/2018,middle_age,female,evening,8,1/1/2018,1
40.66000394,-73.96118684,1/1/2018,adult,female,afternoon,8,1/1/2018,1
40.59593001,-73.95490822,1/1/2018,any,enby,morning,8,1/1/2018,1
40.5324857,-74.19206031,1/1/2018,any,enby,night,20,1/1/2018,1
40.5513966,-74.22009256,1/1/2018,any,enby,night,20,1/1/2018,1
40.66512493,-73.95898868,1/1/2018,young_adult,female,night,9,1/1/2018,1
40.66185862,-73.95890778,1/1/2018,adult,female,night,8,1/1/2018,1
40.78209318,-73.78287786,1/1/2018,middle_age,female,evening,20,1/1/2018,1
40.69711819,-73.92630315,1/1/2018,any,diverse,evening,17,1/1/2018,1
40.79191559,-73.94443235,1/1/2018,adult,female,morning,20,1/1/2018,1
40.75593882,-73.89207071,1/1/2018,teen,male,night,20,1/1/2018,1
40.62470188,-73.93907071,1/1/2018,adult,female,night,20,1/1/2018,1
40.67637463,-73.95591015,1/1/2018,adult,male,evening,11,1/1/2018,1
40.63760927,-73.97051743,1/1/2018,adult,female,afternoon,8,1/1/2018,1
40.65756427,-73.95488819,1/1/2018,young_adult,female,night,9,1/1/2018,1
40.75813555,-73.99285444,1/1/2018,adult,male,evening,21,1/1/2018,1
40.67069493,-73.98504485,1/1/2018,any,male,evening,24,1/1/2018,1
40.68577118,-73.92193479,1/1/2018,adult,male,afternoon,17,1/1/2018,1
40.83088999,-73.82728462,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.75437427,-73.92274592,1/1/2018,young_adult,male,night,9,1/1/2018,1
40.84040627,-73.87172381,1/1/2018,adult,female,night,9,1/1/2018,1
40.83158726,-73.87653243,1/1/2018,adult,female,night,8,1/1/2018,1
40.68712865,-73.94924321,1/1/2018,adult,male,night,23,1/1/2018,1
40.67477728,-73.87175758,1/1/2018,adult,male,night,8,1/1/2018,1
40.74811163,-73.83109386,1/1/2018,adult,female,night,22,1/1/2018,1
40.74005734,-73.77714721,1/1/2018,adult,female,night,22,1/1/2018,1
40.6821864,-73.83969048,1/1/2018,any,diverse,night,22,1/1/2018,1
40.6821864,-73.83969048,1/1/2018,any,diverse,night,21,1/1/2018,1
40.6821864,-73.83969048,1/1/2018,any,diverse,night,22,1/1/2018,1
40.68158741,-73.87968731,1/1/2018,young_adult,male,night,8,1/1/2018,1
40.6821864,-73.83969048,1/1/2018,any,diverse,night,11,1/1/2018,1
40.64637622,-73.89844245,1/1/2018,middle_age,male,night,8,1/1/2018,1
40.63962308,-73.91784871,1/1/2018,young_adult,male,night,17,1/1/2018,1
40.67066713,-73.87564432,1/1/2018,adult,female,night,8,1/1/2018,1
40.58808356,-73.92105167,1/1/2018,adult,female,night,9,1/1/2018,1
40.63630554,-73.9475308,1/1/2018,middle_age,male,night,8,1/1/2018,1
40.75517683,-73.9950132,1/1/2018,middle_age,male,evening,8,1/1/2018,1
40.70629906,-73.78561343,1/1/2018,old,female,evening,8,1/1/2018,1
40.8457824,-73.86157516,1/1/2018,adult,male,evening,9,1/1/2018,1
40.6357205,-73.88903687,1/1/2018,middle_age,male,evening,8,1/1/2018,1
40.6275355,-74.10515232,1/1/2018,old,male,evening,8,1/1/2018,1
40.88010398,-73.841647,1/1/2018,any,diverse,evening,21,1/1/2018,1
40.8457824,-73.86157516,1/1/2018,adult,female,evening,8,1/1/2018,1
40.67293736,-73.76241433,1/1/2018,middle_age,female,evening,8,1/1/2018,1
40.62456329,-74.0769194,1/1/2018,middle_age,female,evening,8,1/1/2018,1
40.65580531,-73.85121121,1/1/2018,adult,female,evening,21,1/1/2018,1
40.68577563,-73.9642547,1/1/2018,adult,female,afternoon,20,1/1/2018,1
40.71128428,-73.9268502,1/1/2018,adult,male,afternoon,8,1/1/2018,1
40.8335397,-73.9397576,1/1/2018,adult,male,afternoon,8,1/1/2018,1
40.86847015,-73.90172971,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.88470291,-73.89929353,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.87150754,-73.82817707,1/1/2018,any,diverse,morning,17,1/1/2018,1
40.83750024,-73.92551522,1/1/2018,adult,female,morning,23,1/1/2018,1
40.74798774,-73.86872219,1/1/2018,young_adult,female,night,9,1/1/2018,1
40.71896438,-73.98465523,1/1/2018,middle_age,male,night,23,1/1/2018,1
40.60639559,-73.82177542,1/1/2018,adult,male,night,23,1/1/2018,1
40.72025646,-73.98006974,1/1/2018,adult,male,night,2,1/1/2018,1
40.67727376,-73.88346616,1/1/2018,young_adult,male,night,17,1/1/2018,1
40.81439524,-73.92142627,1/1/2018,any,enby,night,9,1/1/2018,1
40.7207706,-73.84643044,1/1/2018,any,female,night,10,1/1/2018,1
40.76573192,-73.8195657,1/1/2018,adult,female,night,9,1/1/2018,1
40.58921698,-73.89969593,1/1/2018,adult,male,night,9,1/1/2018,1
40.66916814,-73.88050637,1/1/2018,middle_age,male,night,2,1/1/2018,1
40.71888169,-73.98220578,1/1/2018,old,female,night,2,1/1/2018,1
40.61052609,-73.96928323,1/1/2018,any,enby,night,2,1/1/2018,1
40.61052609,-73.96928323,1/1/2018,any,enby,night,9,1/1/2018,1
40.84660694,-73.88788632,1/1/2018,any,enby,evening,17,1/1/2018,1
40.71971314,-73.73207417,1/1/2018,adult,male,evening,11,1/1/2018,1
40.59558049,-73.98118719,1/1/2018,adult,female,evening,9,1/1/2018,1
40.8331546,-73.90913931,1/1/2018,adult,female,evening,2,1/1/2018,1
40.86020622,-73.89289206,1/1/2018,young_adult,female,evening,18,1/1/2018,1
40.79409373,-73.93681016,1/1/2018,any,enby,evening,17,1/1/2018,1
40.74176905,-73.90617848,1/1/2018,middle_age,female,evening,8,1/1/2018,1
40.88089168,-73.89748394,1/1/2018,adult,male,evening,17,1/1/2018,1
40.76142218,-73.76188573,1/1/2018,adult,female,evening,2,1/1/2018,1
40.84816193,-73.90480673,1/1/2018,teen,female,evening,9,1/1/2018,1
40.85902536,-73.90467188,1/1/2018,any,enby,evening,17,1/1/2018,1
40.83670777,-73.86335761,1/1/2018,middle_age,male,evening,8,1/1/2018,1
40.79191609,-73.94547966,1/1/2018,middle_age,male,evening,9,1/1/2018,1
40.78097012,-73.77547206,1/1/2018,middle_age,female,evening,2,1/1/2018,1
40.64929648,-73.84226689,1/1/2018,middle_age,female,afternoon,17,1/1/2018,1
40.71195209,-73.98985468,1/1/2018,any,enby,afternoon,2,1/1/2018,1
40.80211449,-73.93803062,1/1/2018,teen,female,afternoon,23,1/1/2018,1
40.87041321,-73.8922971,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.82514829,-73.94947035,1/1/2018,adult,male,afternoon,9,1/1/2018,1
40.81216604,-73.94412644,1/1/2018,middle_age,female,afternoon,20,1/1/2018,1
40.86735588,-73.92786442,1/1/2018,any,female,afternoon,9,1/1/2018,1
40.69848338,-73.94837625,1/1/2018,young_adult,male,afternoon,8,1/1/2018,1
40.67924079,-73.8474274,1/1/2018,middle_age,male,afternoon,8,1/1/2018,1
40.61549122,-74.08165623,1/1/2018,any,diverse,afternoon,9,1/1/2018,1
40.76778667,-73.92949573,1/1/2018,any,diverse,afternoon,21,1/1/2018,1
40.65351821,-73.88674399,1/1/2018,middle_age,male,afternoon,21,1/1/2018,1
40.75709176,-73.87086997,1/1/2018,middle_age,male,afternoon,12,1/1/2018,1
40.85134228,-73.90723484,1/1/2018,adult,female,afternoon,2,1/1/2018,1
40.72405138,-73.99618084,1/1/2018,any,enby,afternoon,22,1/1/2018,1
40.84504594,-73.88041815,1/1/2018,any,enby,morning,12,1/1/2018,1
40.82531178,-73.87554682,1/1/2018,middle_age,female,morning,12,1/1/2018,1
40.87161338,-73.89919404,1/1/2018,any,enby,morning,8,1/1/2018,1
40.83590006,-73.8773267,1/1/2018,any,enby,morning,17,1/1/2018,1
40.71409212,-73.98246317,1/1/2018,adult,female,morning,9,1/1/2018,1
40.83886394,-73.84505558,1/1/2018,middle_age,male,morning,8,1/1/2018,1
40.82518926,-73.87647204,1/1/2018,middle_age,male,morning,18,1/1/2018,1
40.83044741,-73.87579016,1/1/2018,middle_age,female,morning,17,1/1/2018,1
40.85332312,-73.90289074,1/1/2018,young_adult,male,morning,10,1/1/2018,1
40.83817387,-73.92735396,1/1/2018,middle_age,female,morning,8,1/1/2018,1
40.89877762,-73.86915144,1/1/2018,middle_age,male,morning,10,1/1/2018,1
40.76785854,-73.92177359,1/1/2018,adult,male,morning,17,1/1/2018,1
40.85134228,-73.90723484,1/1/2018,any,female,morning,20,1/1/2018,1
40.70443282,-73.91792754,1/1/2018,young_adult,male,morning,3,1/1/2018,1
40.66646466,-73.9041036,1/1/2018,young_adult,female,morning,7,1/1/2018,1
40.84847441,-73.88342648,1/1/2018,any,enby,morning,12,1/1/2018,1
40.84847441,-73.88342648,1/1/2018,any,enby,morning,17,1/1/2018,1
40.74652068,-73.91755088,1/1/2018,any,enby,morning,17,1/1/2018,1
40.7233369,-73.98552008,1/1/2018,adult,male,morning,21,1/1/2018,1
40.7233369,-73.98552008,1/1/2018,young_adult,female,morning,8,1/1/2018,1
40.75729501,-73.91540791,1/1/2018,adult,male,morning,22,1/1/2018,1
40.82247712,-73.95473304,1/1/2018,adult,male,morning,21,1/1/2018,1
40.68886748,-73.94065996,1/1/2018,any,diverse,morning,17,1/1/2018,1
40.6936863,-73.95693005,1/1/2018,adult,male,morning,18,1/1/2018,1
40.69935493,-73.73794431,1/1/2018,adult,female,morning,17,1/1/2018,1
40.80409057,-73.95561606,1/1/2018,adult,male,morning,8,1/1/2018,1
40.84106537,-73.9170976,1/1/2018,adult,female,morning,12,1/1/2018,1
40.83057101,-73.89523435,1/1/2018,young_adult,female,morning,9,1/1/2018,1
40.90547617,-73.85222232,1/1/2018,any,enby,night,18,1/1/2018,1
40.74939522,-73.98282561,1/1/2018,young_adult,male,night,17,1/1/2018,1
40.74642676,-73.88762904,1/1/2018,adult,female,night,3,1/1/2018,1
40.7495085,-73.95506413,1/1/2018,adult,male,night,3,1/1/2018,1
40.79421409,-73.94688267,1/1/2018,any,enby,night,17,1/1/2018,1
40.7944994,-73.94657908,1/1/2018,adult,male,night,3,1/1/2018,1
40.66724619,-73.88258251,1/1/2018,young_adult,male,night,17,1/1/2018,1
40.7335208,-74.00353394,1/1/2018,any,enby,night,9,1/1/2018,1
40.82650691,-73.82202056,1/1/2018,adult,male,night,9,1/1/2018,1
40.65080809,-73.95881729,1/1/2018,young_adult,male,night,17,1/1/2018,1
40.75930707,-73.96220105,1/1/2018,adult,female,night,22,1/1/2018,1
40.75590985,-73.88211581,1/1/2018,adult,male,night,17,1/1/2018,1
40.70110601,-73.90357049,1/1/2018,old,female,night,17,1/1/2018,1
40.72205266,-73.98821527,1/1/2018,adult,male,night,12,1/1/2018,1
40.73420929,-73.98934252,1/1/2018,young_adult,male,night,18,1/1/2018,1
40.73420929,-73.98934252,1/1/2018,young_adult,male,night,17,1/1/2018,1
40.66695699,-73.79554099,1/1/2018,old,female,night,17,1/1/2018,1
40.66695699,-73.79554099,1/1/2018,middle_age,male,night,23,1/1/2018,1
40.76597149,-73.9890017,1/1/2018,young_adult,female,night,17,1/1/2018,1
40.76619969,-73.99440228,1/1/2018,adult,male,night,17,1/1/2018,1
40.75593882,-73.89207071,1/1/2018,young_adult,male,night,17,1/1/2018,1
40.75593882,-73.89207071,1/1/2018,middle_age,male,night,17,1/1/2018,1
40.81902812,-73.89989872,1/1/2018,adult,female,night,23,1/1/2018,1
40.72214192,-73.95870106,1/1/2018,young_adult,male,night,17,1/1/2018,1
40.80233685,-73.94935764,1/1/2018,adult,male,night,17,1/1/2018,1
40.72214192,-73.95870106,1/1/2018,young_adult,male,night,26,1/1/2018,1
40.73282833,-73.98606286,1/1/2018,adult,male,night,9,1/1/2018,1
40.70426739,-73.89355376,1/1/2018,adult,female,night,17,1/1/2018,1
40.75036376,-73.93541879,1/1/2018,adult,female,night,9,1/1/2018,1
40.73426438,-73.99160853,1/1/2018,adult,male,night,8,1/1/2018,1
40.72464418,-73.97423824,1/1/2018,adult,female,night,17,1/1/2018,1
40.7114817,-73.98147552,1/1/2018,any,male,night,17,1/1/2018,1
40.72110584,-73.98954303,1/1/2018,adult,male,night,18,1/1/2018,1
40.72110584,-73.98954303,1/1/2018,adult,female,night,12,1/1/2018,1
40.65348897,-73.90951735,1/1/2018,adult,male,night,20,1/1/2018,1
40.75566751,-73.94804678,1/1/2018,any,enby,night,8,1/1/2018,1
40.72898926,-74.00081325,1/1/2018,young_adult,female,night,18,1/1/2018,1
40.66584369,-73.91367112,1/1/2018,adult,male,night,2,1/1/2018,1
40.84500928,-73.87947849,1/1/2018,any,enby,night,10,1/1/2018,1
40.69942831,-73.95002004,1/1/2018,any,enby,night,18,1/1/2018,1
40.63473482,-73.95223746,1/1/2018,adult,male,night,9,1/1/2018,1
40.7208133,-73.97813591,1/1/2018,adult,male,night,9,1/1/2018,1
40.71921975,-73.98549211,1/1/2018,adult,male,night,17,1/1/2018,1
40.71921975,-73.98549211,1/1/2018,adult,male,night,8,1/1/2018,1
40.74798774,-73.86872219,1/1/2018,young_adult,female,night,17,1/1/2018,1
40.68468261,-73.84457011,1/1/2018,any,diverse,night,17,1/1/2018,1
40.71466508,-73.91386761,1/1/2018,middle_age,male,night,20,1/1/2018,1
40.69334111,-73.81410002,1/1/2018,adult,male,night,18,1/1/2018,1
40.67243249,-73.91547228,1/1/2018,young_adult,female,night,3,1/1/2018,1
40.80750501,-73.92406053,1/1/2018,adult,male,night,23,1/1/2018,1
40.64037726,-73.93885822,1/1/2018,any,enby,night,8,1/1/2018,1
40.71374185,-73.73741881,1/1/2018,adult,female,night,8,1/1/2018,1
40.79433796,-73.97102949,1/1/2018,any,enby,night,8,1/1/2018,1
40.7934646,-73.96894964,1/1/2018,any,diverse,night,8,1/1/2018,1
40.70595917,-73.95253989,1/1/2018,any,diverse,night,8,1/1/2018,1
40.70595917,-73.95253989,1/1/2018,any,diverse,night,8,1/1/2018,1
40.78868185,-73.97429653,1/1/2018,any,enby,night,8,1/1/2018,1
40.78931029,-73.97383765,1/1/2018,any,enby,night,8,1/1/2018,1
40.79182129,-73.97200567,1/1/2018,any,enby,night,8,1/1/2018,1
40.69707097,-73.80561842,1/1/2018,any,enby,afternoon,9,1/1/2018,1
40.69707097,-73.80561842,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.83377636,-73.9184293,1/1/2018,young_adult,female,night,8,1/1/2018,1
40.66550358,-73.75543707,1/1/2018,any,diverse,night,8,1/1/2018,1
40.66234547,-73.90497818,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.80296043,-73.96567271,1/1/2018,any,enby,night,8,1/1/2018,1
40.80296043,-73.96567271,1/1/2018,any,enby,night,8,1/1/2018,1
40.78839876,-73.97264269,1/1/2018,any,enby,night,8,1/1/2018,1
40.71415853,-73.77756206,1/1/2018,any,diverse,afternoon,8,1/1/2018,1
40.71415853,-73.77756206,1/1/2018,any,diverse,afternoon,8,1/1/2018,1
40.71415853,-73.77756206,1/1/2018,any,diverse,afternoon,8,1/1/2018,1
40.71415853,-73.77756206,1/1/2018,any,diverse,afternoon,8,1/1/2018,1
40.71415853,-73.77756206,1/1/2018,any,diverse,afternoon,8,1/1/2018,1
40.69906473,-73.78758055,1/1/2018,any,diverse,afternoon,8,1/1/2018,1
40.69906473,-73.78758055,1/1/2018,any,diverse,afternoon,8,1/1/2018,1
40.69906473,-73.78758055,1/1/2018,any,diverse,afternoon,9,1/1/2018,1
40.69871968,-73.80671356,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.75653182,-73.88649305,1/1/2018,middle_age,male,night,8,1/1/2018,1
40.66538966,-73.8898418,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.79310962,-73.97676147,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.79367496,-73.97637845,1/1/2018,any,enby,afternoon,8,1/1/2018,1
40.70545658,-73.95181169,1/1/2018,any,male,night,8,1/1/2018,1
40.7911219,-73.97423419,1/1/2018,any,enby,night,8,1/1/2018,1
40.67489801,-73.89321849,1/1/2018,any,diverse,morning,8,1/1/2018,1
40.7911219,-73.97423419,1/1/2018,any,enby,night,8,1/1/2018,1
40.80027985,-73.96029599,1/1/2018,any,diverse,night,8,1/1/2018,1
40.76007223,-73.87813415,1/1/2018,any,diverse,night,8,1/1/2018,1
40.77831917,-73.98187215,1/1/2018,any,enby,night,8,1/1/2018,1
40.79958347,-73.96262244,1/1/2018,any,diverse,night,8,1/1/2018,1
40.83960821,-73.92142179,1/1/2018,any,enby,night,8,1/1/2018,1
40.7930754,-73.97108782,1/1/2018,any,diverse,night,8,1/1/2018,1
40.7930754,-73.97108782,1/1/2018,any,diverse,night,8,1/1/2018,1
40.79372304,-73.97061443,1/1/2018,any,diverse,night,8,1/1/2018,1
40.7930372,-73.97197627,1/1/2018,any,enby,night,8,1/1/2018,1
40.79372304,-73.97061443,1/1/2018,any,diverse,night,8,1/1/2018,1
40.75653182,-73.88649305,1/1/2018,old,male,night,8,1/1/2018,1
40.76453914,-73.88463111,1/1/2018,any,diverse,night,8,1/1/2018,1
40.70912408,-73.96031061,1/1/2018,any,diverse,night,9,1/1/2018,1
40.67917055,-73.92696113,1/2/2018,any,enby,afternoon,7,1/2/2018,1
40.75259697,-73.85561855,1/2/2018,adult,female,morning,9,1/2/2018,1
40.83012732,-73.86452384,1/2/2018,adult,male,evening,9,1/2/2018,1
40.79943173,-73.96930443,1/2/2018,middle_age,male,afternoon,8,1/2/2018,1
40.67800419,-73.9704455,1/2/2018,middle_age,male,evening,8,1/2/2018,1
40.74803242,-73.9205734,1/2/2018,any,enby,afternoon,9,1/2/2018,1
40.69480754,-73.81625964,1/2/2018,middle_age,male,afternoon,9,1/2/2018,1
40.54874973,-74.17057845,1/2/2018,middle_age,female,afternoon,9,1/2/2018,1
40.85493377,-73.85971977,1/2/2018,adult,female,evening,8,1/2/2018,1
40.72118408,-73.97942009,1/2/2018,adult,female,afternoon,8,1/2/2018,1
40.64951846,-73.88071814,1/2/2018,any,male,morning,11,1/2/2018,1
40.74389855,-73.9242449,1/2/2018,any,enby,evening,8,1/2/2018,1
40.69579172,-73.93909591,1/2/2018,middle_age,female,morning,20,1/2/2018,1
40.71930541,-73.73379298,1/2/2018,any,diverse,night,8,1/2/2018,1
40.67726447,-73.76172834,1/2/2018,young_adult,female,afternoon,9,1/2/2018,1
40.60232126,-73.97861045,1/2/2018,adult,female,night,9,1/2/2018,1
40.67541918,-73.93753907,1/2/2018,adult,male,night,8,1/2/2018,1
40.72618713,-73.7352339,1/2/2018,adult,male,evening,20,1/2/2018,1
40.64043987,-73.9378889,1/2/2018,middle_age,female,evening,8,1/2/2018,1
40.87054946,-73.86523694,1/2/2018,adult,male,morning,17,1/2/2018,1
40.76559192,-73.91858862,1/2/2018,any,enby,morning,21,1/2/2018,1
40.83272203,-73.9179283,1/2/2018,middle_age,male,night,9,1/2/2018,1
40.82170191,-73.86065696,1/2/2018,adult,female,evening,22,1/2/2018,1
40.62322682,-74.14922697,1/2/2018,adult,male,evening,21,1/2/2018,1
40.84376219,-73.91174515,1/2/2018,any,diverse,morning,20,1/2/2018,1
40.67720173,-73.9783521,1/2/2018,middle_age,male,morning,8,1/2/2018,1
40.71839427,-73.9928587,1/2/2018,old,male,evening,9,1/2/2018,1
40.75609062,-73.93781355,1/2/2018,adult,male,afternoon,17,1/2/2018,1
40.75626621,-73.99050125,1/2/2018,any,female,morning,8,1/2/2018,1
40.75664204,-73.98837158,1/2/2018,adult,male,morning,9,1/2/2018,1
